timestamp,ticker,feat_price,feat_dev,feat_rsi,feat_vol,feat_volatility,feat_trend,feat_dayofweek,feat_macd,feat_bb_pos,feat_gap,feat_nikkei_trend,feat_fear_index,feat_market_phase,label
2024-02-02,1332.T,771.4,3.77,62.58,1.1,17.5,1.02,4,1.6,96.61,0.01,8.62,15.32,2,1
2024-02-19,1332.T,891.4,12.48,95.25,0.68,31.0,1.04,0,8.51,86.46,0.38,6.97,16.41,2,0
2024-03-05,1332.T,885.5,4.29,54.4,0.67,20.44,1.07,1,-2.84,35.23,-0.73,10.9,16.0,2,1
2024-03-19,1332.T,911.4,2.64,58.09,0.86,13.48,1.07,1,-2.5,105.55,-0.71,3.99,17.18,2,1
2024-04-03,1332.T,904.5,0.08,56.4,1.5,30.89,1.05,2,-5.14,2.07,-0.88,-1.61,18.44,1,0
2024-04-17,1332.T,882.7,-2.73,42.07,1.14,20.11,1.02,2,-4.17,-80.31,-0.13,-5.1,17.57,0,1
2024-05-02,1332.T,918.5,1.35,57.33,0.56,18.16,1.0,3,-0.07,54.86,-0.07,-3.08,21.12,0,0
2024-05-20,1332.T,880.1,-2.59,37.51,0.64,19.7,1.0,0,-4.43,-80.38,-0.23,2.92,19.56,1,0
2024-06-03,1332.T,850.2,-3.86,33.37,0.6,18.44,0.99,0,-4.09,-63.43,0.39,1.8,15.07,1,0
2024-06-17,1332.T,813.3,-4.64,31.89,1.04,15.66,0.97,0,-1.94,-84.2,0.66,-2.48,14.04,1,1
2024-07-01,1332.T,831.6,0.28,43.1,0.93,13.11,0.96,0,3.85,7.87,0.46,1.82,11.99,1,0
2024-07-16,1332.T,831.4,1.48,51.04,1.01,17.77,0.97,1,3.0,52.3,0.81,8.33,14.75,2,1
2024-07-30,1332.T,844.1,1.3,63.13,0.69,26.96,1.0,1,1.76,28.79,-0.0,-2.79,22.56,1,0
2024-08-14,1332.T,825.4,-0.01,47.2,0.69,85.58,1.0,2,-0.47,-0.07,0.09,-11.71,66.48,0,1
2024-08-28,1332.T,881.0,6.34,67.47,0.91,27.78,1.0,2,8.35,73.14,0.06,-0.4,66.81,1,1
2024-09-11,1332.T,867.4,1.28,58.03,1.02,31.03,1.02,2,-0.27,15.25,-0.89,-2.26,24.18,1,1
2024-09-27,1332.T,908.8,2.9,53.7,0.95,24.99,1.03,4,0.18,67.77,0.02,3.8,27.16,2,0
2024-10-11,1332.T,913.7,2.42,61.86,0.96,16.35,1.03,4,0.77,80.15,0.82,11.19,30.16,2,0
2024-10-28,1332.T,878.2,-1.91,32.14,0.89,15.86,1.01,0,-5.5,-55.48,-0.01,-3.07,26.04,0,1
2024-11-12,1332.T,917.9,2.02,61.92,0.99,18.88,1.01,1,2.56,56.98,0.23,-0.58,19.19,1,0
2024-11-26,1332.T,892.4,-0.21,52.94,0.53,14.0,1.0,1,-2.16,-6.32,-0.07,-0.42,18.29,1,1
2024-12-10,1332.T,885.7,-1.44,48.2,0.84,18.85,1.0,1,-1.37,-54.81,0.51,-0.02,13.89,1,0
2024-12-24,1332.T,858.5,-2.9,20.14,0.69,12.15,0.99,1,-3.37,-73.2,-0.0,1.55,12.22,1,0
2025-01-14,1332.T,829.3,-4.27,32.33,1.24,14.74,0.98,1,-2.66,-90.09,0.03,-2.27,16.96,1,0
2025-01-28,1332.T,830.4,-1.41,33.33,0.75,8.9,0.97,1,1.48,-35.54,-0.24,-0.05,18.04,1,0
2025-02-12,1332.T,822.0,-0.35,49.0,1.27,20.34,0.97,2,1.33,-12.81,1.12,1.27,15.14,1,1
2025-02-27,1332.T,838.1,1.6,68.03,0.79,17.21,0.98,3,2.53,61.08,0.63,-1.95,14.43,1,1
2025-03-13,1332.T,851.7,2.03,70.86,0.93,10.04,1.0,3,2.65,54.06,-0.65,-5.58,17.47,0,1
2025-03-28,1332.T,905.5,5.19,81.14,1.18,11.1,1.02,4,3.75,84.01,-0.31,-2.97,18.3,1,0
2025-04-11,1332.T,830.3,-3.91,36.24,0.78,61.92,1.02,4,-8.1,-53.75,-3.97,-8.71,56.52,0,1
2025-04-25,1332.T,854.7,-0.38,66.27,0.56,22.72,1.01,4,2.43,-5.02,-0.19,-3.81,57.77,0,0
2025-05-14,1332.T,832.1,-1.47,40.55,2.06,16.1,0.99,2,-1.06,-30.59,-0.38,13.53,13.92,2,1
2025-05-28,1332.T,827.4,-1.96,39.07,1.0,19.84,0.99,2,-1.36,-47.83,0.61,5.65,11.56,2,1
2025-06-11,1332.T,823.9,-0.99,54.84,0.68,9.41,0.99,2,0.22,-31.24,0.1,0.77,13.17,1,1
2025-06-25,1332.T,850.0,1.73,61.2,0.7,23.32,0.99,2,3.25,42.94,-0.38,3.23,14.16,2,1
2025-07-09,1332.T,855.8,0.6,36.75,0.7,15.82,1.01,2,-0.47,12.77,-0.03,3.64,13.46,2,1
2025-07-24,1332.T,865.0,0.33,46.53,1.0,8.93,1.02,3,-0.78,16.6,0.24,7.41,16.71,2,1
2025-08-07,1332.T,952.5,8.96,84.38,1.27,29.76,1.02,3,9.29,140.13,-0.05,3.11,17.18,2,1
2025-08-22,1332.T,1010.7,9.6,95.0,1.08,13.08,1.04,4,6.17,77.5,0.29,1.93,18.16,1,0
2025-09-05,1332.T,1051.7,7.28,74.9,0.82,18.96,1.06,4,1.97,85.15,0.05,4.77,18.07,2,0
2025-09-22,1332.T,1033.9,0.77,60.0,0.98,17.27,1.07,0,-5.79,12.57,0.24,6.71,13.39,2,1
2025-10-07,1332.T,1061.5,1.34,46.12,0.88,16.42,1.05,1,-4.13,42.97,-0.38,11.47,20.27,2,0
2025-10-22,1332.T,1067.5,1.5,59.42,1.05,24.63,1.02,2,-1.57,53.94,-0.1,8.38,26.94,2,1
2025-11-06,1332.T,1124.5,5.86,70.38,3.28,33.66,1.01,3,1.99,145.19,-0.23,6.12,27.63,2,1
2025-11-20,1332.T,1213.0,9.27,79.83,1.15,25.32,1.03,3,8.41,93.6,1.18,1.05,26.82,1,1
2025-12-05,1332.T,1196.5,2.07,54.7,0.64,21.02,1.05,4,-6.09,20.85,0.08,-0.77,24.75,1,1
2025-12-19,1332.T,1178.5,-2.44,44.31,1.84,40.65,1.05,4,-8.31,-68.2,0.67,-0.64,20.37,1,0
2026-01-07,1332.T,1140.5,-3.71,31.95,1.22,16.44,1.02,2,-6.7,-78.75,-1.21,2.91,18.0,1,1
2026-01-22,1332.T,1217.0,3.87,67.3,1.2,25.03,0.99,3,9.4,70.37,-0.86,8.45,21.38,2,1
2026-02-05,1332.T,1367.0,12.29,84.43,0.85,27.7,1.01,3,14.3,98.6,2.11,3.57,24.09,2,1
2026-02-20,1332.T,1471.5,8.14,73.07,0.72,44.26,1.07,4,2.95,42.94,-0.86,5.84,24.67,2,1
2023-05-26,1333.T,771.5,-1.85,32.66,0.83,16.62,1.04,4,-4.76,-44.99,-0.16,8.02,11.48,2,0
2023-06-09,1333.T,763.3,-2.35,30.23,0.9,14.73,1.02,4,-3.03,-49.14,0.14,9.79,16.88,2,1
2023-06-23,1333.T,758.4,-1.14,40.9,1.03,9.26,0.99,4,-0.42,-39.59,-0.22,6.03,19.08,2,1
2023-07-07,1333.T,752.7,-0.87,43.47,1.14,13.69,0.98,4,-0.28,-49.15,-0.16,0.38,17.44,1,1
2023-07-24,1333.T,762.8,0.7,54.57,0.62,16.65,0.99,0,1.08,44.14,0.45,-0.25,16.61,1,1
2023-08-07,1333.T,778.1,2.37,66.86,2.73,14.68,1.0,0,1.16,137.15,0.53,-0.41,16.05,1,0
2023-08-22,1333.T,775.8,1.67,53.62,1.26,20.96,1.0,1,0.22,100.77,0.14,-2.58,15.27,1,1
2023-09-05,1333.T,802.5,3.92,66.93,0.86,12.15,1.01,1,3.37,112.44,0.04,2.43,14.63,1,1
2023-09-20,1333.T,815.9,2.92,79.82,0.91,9.68,1.02,2,0.84,50.94,0.45,3.66,14.97,2,0
2023-10-04,1333.T,763.1,-5.47,13.21,1.74,17.0,1.03,2,-7.35,-131.44,-1.16,-7.6,15.99,0,1
2023-10-19,1333.T,769.1,-3.55,29.4,0.94,16.4,1.01,3,-3.76,-61.86,-0.74,-4.82,21.7,0,1
2023-11-02,1333.T,813.3,3.73,69.59,0.94,18.6,0.99,3,5.61,85.64,0.1,4.66,22.11,2,1
2023-11-17,1333.T,866.4,6.78,73.19,0.64,28.7,1.0,4,4.98,63.99,0.0,6.86,19.99,2,1
2023-12-04,1333.T,895.9,4.86,56.31,0.52,18.38,1.04,0,0.81,62.14,-0.0,4.01,15.23,2,1
2023-12-18,1333.T,851.9,-3.67,35.71,1.3,29.59,1.05,0,-6.83,-78.28,-1.28,-2.46,15.19,1,1
2024-01-04,1333.T,885.9,0.55,37.5,0.96,12.37,1.03,3,-1.45,10.28,1.31,0.17,17.93,1,1
2024-01-19,1333.T,921.4,5.04,82.33,2.97,19.98,1.0,4,2.91,103.02,0.18,9.78,15.54,2,1
2024-02-02,1333.T,920.8,3.04,64.88,1.13,19.42,1.01,4,0.89,68.58,0.72,8.62,15.32,2,1
2024-02-19,1333.T,924.2,0.96,53.41,0.45,19.46,1.02,0,-1.82,23.74,0.51,6.97,16.41,2,0
2024-03-05,1333.T,890.8,-2.91,29.51,0.85,23.34,1.02,1,-4.33,-89.82,-0.35,10.9,16.0,2,1
2024-03-19,1333.T,918.1,1.18,52.16,0.69,19.88,1.0,1,1.54,34.77,-0.19,3.99,17.18,2,1
2024-04-03,1333.T,957.4,4.18,82.62,1.13,22.34,1.0,2,3.76,73.79,-0.97,-1.61,18.44,1,0
2024-04-17,1333.T,938.1,-0.19,49.66,0.92,27.75,1.01,2,-0.3,-3.84,-0.26,-5.1,17.57,0,1
2024-05-02,1333.T,999.1,4.17,65.3,1.25,18.16,1.03,3,2.02,108.17,0.55,-3.08,21.12,0,1
2024-05-20,1333.T,1021.0,3.09,63.0,0.46,33.49,1.03,0,-0.48,46.08,-0.19,2.92,19.56,1,1
2024-06-03,1333.T,1044.5,2.58,61.25,0.97,16.76,1.03,0,-1.91,54.32,0.83,1.8,15.07,1,0
2024-06-17,1333.T,985.4,-3.38,38.09,0.86,17.58,1.02,0,-6.91,-105.37,-0.29,-2.48,14.04,1,1
2024-07-01,1333.T,1018.1,0.91,49.61,0.95,23.37,1.0,0,1.77,23.8,1.3,1.82,11.99,1,0
2024-07-16,1333.T,1015.9,1.38,45.34,0.87,12.46,0.99,1,1.08,47.32,0.19,8.33,14.75,2,1
2024-07-30,1333.T,1047.7,1.88,68.78,0.72,25.21,1.01,1,1.79,36.93,-0.0,-2.79,22.56,1,0
2024-08-14,1333.T,986.3,-2.94,40.81,0.78,67.95,1.01,2,-5.88,-32.57,-0.55,-11.71,66.48,0,1
2024-08-28,1333.T,957.8,-4.25,49.83,2.19,30.16,0.99,2,-0.83,-51.74,-0.33,-0.4,66.81,1,1
2024-09-11,1333.T,948.2,-2.8,39.21,1.13,28.43,0.98,2,-0.65,-65.4,-0.32,-2.26,24.18,1,1
2024-09-27,1333.T,1017.2,3.91,65.59,0.47,24.21,0.98,4,6.5,86.0,0.19,3.8,27.16,2,1
2024-10-11,1333.T,1026.3,2.47,57.49,0.71,16.75,1.01,4,0.75,37.76,-0.31,11.19,30.16,2,0
2024-10-28,1333.T,958.2,-4.84,13.55,0.67,12.6,1.01,0,-8.68,-83.23,0.32,-3.07,26.04,0,0
2024-11-12,1333.T,958.3,-2.2,44.89,1.65,23.39,1.0,1,-1.44,-31.49,0.87,-0.58,19.19,1,1
2024-11-26,1333.T,985.6,1.81,64.9,0.52,19.39,0.98,1,3.41,48.25,-0.0,-0.42,18.29,1,0
2024-12-10,1333.T,954.3,-1.58,30.38,0.63,15.58,0.99,1,-2.35,-42.96,0.64,-0.02,13.89,1,1
2024-12-24,1333.T,947.7,-1.5,39.11,0.97,10.51,1.0,1,-0.86,-45.52,-0.14,1.55,12.22,1,1
2025-01-14,1333.T,935.6,-1.93,47.88,1.62,16.19,0.99,1,-0.81,-80.69,0.65,-2.27,16.96,1,1
2025-01-28,1333.T,955.4,0.76,42.3,0.77,7.95,0.99,1,1.84,26.83,-0.3,-0.05,18.04,1,1
2025-02-12,1333.T,1017.9,7.24,73.7,3.69,42.71,1.0,2,4.69,190.28,9.56,1.27,15.14,1,1
2025-02-27,1333.T,1005.0,2.65,65.34,0.52,29.68,1.02,3,0.92,34.83,-0.67,-1.95,14.43,1,1
2025-03-13,1333.T,1032.4,3.04,57.95,0.93,21.85,1.03,3,-0.45,51.35,-0.44,-5.58,17.47,0,1
2025-03-28,1333.T,1091.3,5.72,80.3,0.9,11.87,1.03,4,4.11,92.52,0.21,-2.97,18.3,1,0
2025-04-11,1333.T,1006.8,-3.4,34.54,0.83,40.12,1.03,4,-9.49,-51.82,-2.07,-8.71,56.52,0,1
2025-04-25,1333.T,1067.3,1.31,69.1,0.6,25.1,1.02,4,3.33,22.04,0.0,-3.81,57.77,0,0
2025-05-14,1333.T,984.8,-5.73,30.2,2.09,46.86,1.0,2,-8.3,-88.34,-0.47,13.53,13.92,2,1
2025-05-28,1333.T,1001.6,-2.74,32.49,1.01,11.46,0.99,2,-1.57,-32.21,0.6,5.65,11.56,2,1
2025-06-11,1333.T,1006.8,0.11,67.19,0.72,13.79,0.98,2,2.01,1.8,0.49,0.77,13.17,1,1
2025-06-25,1333.T,987.1,-1.22,33.94,0.73,8.12,0.98,2,-0.39,-55.89,-0.1,3.23,14.16,2,1
2025-07-09,1333.T,1000.3,0.03,50.86,1.0,13.61,0.99,2,1.74,1.88,0.33,3.64,13.46,2,1
2025-07-24,1333.T,1010.5,0.96,49.18,1.28,8.11,1.0,3,0.98,55.86,0.29,7.41,16.71,2,1
2025-08-07,1333.T,1082.8,6.18,86.61,1.41,14.35,1.01,3,7.16,131.45,-0.4,3.11,17.18,2,1
2025-08-22,1333.T,1100.8,4.9,72.83,0.93,12.98,1.02,4,2.18,79.27,0.06,1.93,18.16,1,1
2025-09-05,1333.T,1139.9,5.06,77.28,1.24,16.01,1.04,4,2.48,120.14,0.29,4.77,18.07,2,1
2025-09-22,1333.T,1133.4,1.35,61.89,0.82,22.33,1.04,0,-3.55,24.36,0.03,6.71,13.39,2,1
2025-10-07,1333.T,1153.7,1.28,42.75,1.13,14.6,1.03,1,-3.37,39.17,0.38,11.47,20.27,2,0
2025-10-22,1333.T,1141.0,0.2,54.39,1.19,13.29,1.02,2,-1.96,9.2,0.0,8.38,26.94,2,1
2025-11-06,1333.T,1165.3,2.24,58.81,0.83,24.96,1.0,3,1.73,91.5,0.0,6.12,27.63,2,1
2025-11-20,1333.T,1224.0,4.58,74.86,0.95,22.52,1.01,3,3.99,71.61,1.27,1.05,26.82,1,1
2025-12-05,1333.T,1226.3,1.15,50.7,0.55,20.65,1.03,4,-2.74,18.87,0.0,-0.77,24.75,1,1
2025-12-19,1333.T,1292.7,3.88,60.65,1.23,16.43,1.04,4,1.18,122.19,0.5,-0.64,20.37,1,1
2026-01-07,1333.T,1320.0,3.74,66.42,0.73,22.07,1.03,2,1.81,77.94,-0.98,2.91,18.0,1,1
2026-01-22,1333.T,1395.0,5.72,65.68,1.27,21.95,1.03,3,6.53,81.26,-0.71,8.45,21.38,2,1
2026-02-05,1333.T,1434.5,4.89,69.38,0.82,13.42,1.04,3,0.2,75.81,1.26,3.57,24.09,2,1
2026-02-20,1333.T,1492.0,4.03,69.2,1.33,28.31,1.05,4,2.63,59.08,-0.46,5.84,24.67,2,1
2023-06-09,1379.T,1769.7,1.32,62.89,1.83,7.33,1.0,4,3.45,90.79,0.64,9.79,16.88,2,0
2023-07-24,1379.T,1731.0,-0.27,41.75,1.2,6.39,1.0,0,0.7,-25.39,0.44,-0.25,16.61,1,0
2023-08-07,1379.T,1749.0,0.72,59.21,0.74,6.08,1.0,0,1.59,64.93,-0.11,-0.41,16.05,1,0
2023-08-22,1379.T,1710.3,-1.55,31.82,1.11,12.29,1.0,1,-4.85,-80.98,-0.17,-2.58,15.27,1,1
2023-09-05,1379.T,1742.4,0.49,60.42,0.89,7.3,1.0,1,2.46,23.68,-0.11,2.43,14.63,1,0
2023-09-20,1379.T,1727.3,-0.39,43.69,1.23,8.19,1.0,2,-0.16,-19.5,-0.22,3.66,14.97,2,0
2023-10-04,1379.T,1717.7,-1.12,28.0,1.37,7.2,1.0,2,-2.25,-70.93,0.0,-7.6,15.99,0,0
2023-10-19,1379.T,1700.6,-1.42,34.86,0.69,10.18,1.0,3,-3.38,-62.34,-0.17,-4.82,21.7,0,0
2023-11-02,1379.T,1714.9,0.12,52.35,0.64,14.13,0.99,3,2.67,6.82,0.28,4.66,22.11,2,0
2023-11-17,1379.T,1645.7,-2.99,31.43,0.84,17.69,0.99,4,-6.28,-115.5,0.0,6.86,19.99,2,1
2023-12-04,1379.T,1650.4,-1.74,33.71,0.92,6.56,0.99,0,0.39,-50.71,-0.0,4.01,15.23,2,1
2023-12-18,1379.T,1639.0,-0.7,33.94,1.28,10.2,0.98,0,0.41,-39.41,-0.17,-2.46,15.19,1,1
2024-01-04,1379.T,1658.0,0.93,61.24,0.87,10.73,0.99,3,4.3,54.81,-0.0,0.17,17.93,1,1
2024-01-19,1379.T,1674.1,1.45,81.18,1.23,4.45,1.0,4,3.15,62.95,0.0,9.78,15.54,2,1
2024-02-02,1379.T,1697.8,1.53,70.77,0.82,6.97,1.01,4,2.15,66.22,-0.0,8.62,15.32,2,1
2024-02-19,1379.T,1742.4,2.96,65.22,1.27,19.26,1.01,0,2.9,134.48,0.33,6.97,16.41,2,1
2024-03-05,1379.T,1700.6,-0.69,38.03,0.97,8.77,1.02,1,-5.22,-26.77,-0.5,10.9,16.0,2,1
2024-03-19,1379.T,1800.2,3.17,65.92,0.6,34.29,1.02,1,5.87,70.16,-0.21,3.99,17.18,2,0
2024-04-03,1379.T,1767.6,0.04,39.36,0.37,16.49,1.02,2,-5.09,0.87,-0.33,-1.61,18.44,1,1
2024-04-17,1379.T,1736.6,-2.73,39.18,0.66,10.01,1.02,2,-7.4,-139.88,0.06,-5.1,17.57,0,1
2024-05-02,1379.T,1766.6,-0.31,39.84,0.46,9.26,1.0,3,-0.2,-15.54,-0.16,-3.08,21.12,0,1
2024-05-20,1379.T,1782.1,1.17,59.8,1.34,9.05,0.99,0,2.68,72.05,0.22,2.92,19.56,1,1
2024-06-03,1379.T,1771.5,0.17,53.52,1.17,11.04,1.0,0,-0.66,10.55,0.11,1.8,15.07,1,1
2024-06-17,1379.T,1804.4,1.29,57.86,1.12,10.07,1.0,0,1.59,90.26,-0.32,-2.48,14.04,1,0
2024-07-01,1379.T,1834.4,1.92,63.47,0.54,11.6,1.01,0,3.44,71.31,0.0,1.82,11.99,1,0
2024-07-16,1379.T,1785.0,-0.96,33.78,0.82,10.62,1.01,1,-4.64,-35.66,-0.11,8.33,14.75,2,1
2024-07-30,1379.T,1839.3,1.67,77.46,1.12,10.25,1.01,1,4.6,57.53,-0.53,-2.79,22.56,1,0
2024-08-14,1379.T,1810.2,1.0,47.99,1.36,36.39,1.0,2,-1.41,24.64,0.0,-11.71,66.48,0,0
2024-08-28,1379.T,1828.6,1.57,70.94,0.96,12.61,1.0,2,5.02,38.57,0.85,-0.4,66.81,1,0
2024-09-11,1379.T,1733.7,-2.95,26.49,1.24,13.8,1.0,2,-6.93,-85.12,0.11,-2.26,24.18,1,1
2024-09-27,1379.T,1771.5,-0.1,53.27,1.23,13.88,0.99,4,2.62,-2.7,0.55,3.8,27.16,2,1
2024-10-11,1379.T,1795.9,1.43,64.49,0.59,8.06,0.99,4,4.1,49.06,0.27,11.19,30.16,2,0
2024-10-28,1379.T,1760.8,-1.3,16.42,1.45,7.09,1.0,0,-4.23,-61.59,0.61,-3.07,26.04,0,0
2024-11-12,1379.T,1728.7,-2.76,35.36,1.19,16.21,1.0,1,-5.37,-111.04,-0.0,-0.58,19.19,1,0
2024-11-26,1379.T,1710.2,-1.39,32.54,0.97,15.63,0.99,1,-1.69,-28.39,0.0,-0.42,18.29,1,1
2024-12-10,1379.T,1700.4,0.0,61.18,0.38,15.89,0.98,1,4.51,0.07,0.63,-0.02,13.89,1,1
2024-12-24,1379.T,1739.4,1.8,78.13,0.55,15.37,0.99,1,6.18,45.77,-0.28,1.55,12.22,1,1
2025-01-14,1379.T,1771.5,2.06,55.46,0.91,10.86,1.01,1,1.62,59.15,0.22,-2.27,16.96,1,1
2025-01-28,1379.T,1788.1,1.55,62.81,0.64,10.29,1.02,1,0.08,89.85,-0.0,-0.05,18.04,1,1
2025-02-12,1379.T,1773.5,0.22,55.28,0.56,9.75,1.01,2,-1.9,16.55,0.33,1.27,15.14,1,1
2025-02-27,1379.T,1871.8,3.58,78.53,0.82,21.3,1.02,3,5.43,64.54,-0.94,-1.95,14.43,1,0
2025-03-13,1379.T,1836.8,-0.1,34.78,0.75,14.38,1.02,3,-5.6,-2.13,-0.26,-5.58,17.47,0,0
2025-03-28,1379.T,1873.3,1.22,46.26,1.44,7.5,1.02,4,-0.31,60.49,-0.43,-2.97,18.3,1,0
2025-04-11,1379.T,1842.5,0.47,51.41,0.61,36.1,1.0,4,-1.09,13.89,-1.13,-8.71,56.52,0,1
2025-04-25,1379.T,1833.5,-0.12,66.67,0.77,16.47,1.0,4,3.77,-3.28,-0.75,-3.81,57.77,0,0
2025-05-14,1379.T,1728.1,-5.24,21.25,3.05,24.56,0.99,2,-8.21,-127.38,-0.05,13.53,13.92,2,1
2025-05-28,1379.T,1782.8,-1.28,39.68,1.0,9.24,0.99,2,0.56,-27.6,0.5,5.65,11.56,2,1
2025-06-11,1379.T,1790.7,0.46,65.06,0.69,7.93,0.99,2,3.74,18.73,-0.28,0.77,13.17,1,1
2025-06-25,1379.T,1779.8,-0.4,51.65,1.13,8.05,0.99,2,-0.84,-25.63,-0.17,3.23,14.16,2,1
2025-07-09,1379.T,1781.8,-0.43,36.61,0.76,7.18,1.0,2,-0.87,-33.07,0.17,3.64,13.46,2,1
2025-07-24,1379.T,1825.6,1.91,70.97,1.19,6.21,1.0,3,4.12,128.2,-0.0,7.41,16.71,2,1
2025-08-07,1379.T,1886.2,3.81,84.13,1.12,10.39,1.01,3,7.05,101.05,-0.0,3.11,17.18,2,0
2025-08-22,1379.T,1878.3,1.84,55.03,1.19,10.41,1.01,4,-0.48,66.97,-0.21,1.93,18.16,1,1
2025-09-05,1379.T,1893.2,1.13,63.64,1.08,18.65,1.02,4,-1.52,41.77,-0.05,4.77,18.07,2,1
2025-09-22,1379.T,1905.1,0.39,62.29,0.64,15.85,1.02,0,-0.77,11.07,0.1,6.71,13.39,2,0
2025-10-07,1379.T,1885.0,-0.95,31.13,0.76,16.6,1.01,1,-8.64,-28.48,0.53,11.47,20.27,2,0
2025-10-22,1379.T,1877.0,-0.9,54.29,1.37,6.56,1.0,2,-0.51,-25.21,-0.27,8.38,26.94,2,0
2025-11-06,1379.T,1852.0,-0.79,45.64,0.67,14.87,0.99,3,-2.58,-42.24,-0.16,6.12,27.63,2,1
2025-11-20,1379.T,1975.0,4.69,81.19,1.27,11.78,1.0,3,12.8,114.84,0.0,1.05,26.82,1,1
2025-12-05,1379.T,2003.0,2.48,64.49,0.59,26.75,1.02,4,-1.35,27.69,-0.15,-0.77,24.75,1,1
2025-12-19,1379.T,2060.0,1.73,46.25,0.47,17.49,1.04,4,-2.7,38.38,0.0,-0.64,20.37,1,0
2026-01-07,1379.T,2021.0,-0.52,37.31,1.38,12.51,1.03,2,-6.32,-26.51,-0.69,2.91,18.0,1,0
2026-01-22,1379.T,2023.0,-0.36,55.88,1.23,6.78,1.01,3,-2.64,-22.45,0.4,8.45,21.38,2,0
2026-02-05,1379.T,2029.0,0.86,50.28,1.05,16.33,0.99,3,1.42,43.34,0.44,3.57,24.09,2,0
2026-02-20,1379.T,1981.0,-1.62,50.22,1.31,17.56,1.0,4,-3.34,-62.8,-0.25,5.84,24.67,2,0
2023-05-26,1605.T,1336.0,2.1,62.67,1.18,24.77,1.02,4,5.09,51.3,-1.15,8.02,11.48,2,0
2023-06-09,1605.T,1402.7,4.87,62.67,0.89,29.42,1.02,4,5.89,80.97,0.13,9.79,16.88,2,1
2023-06-23,1605.T,1411.6,2.04,57.96,1.09,22.41,1.03,4,-0.41,35.55,-1.14,6.03,19.08,2,1
2023-07-07,1605.T,1449.5,1.69,57.83,0.92,11.37,1.04,4,-0.6,49.1,-1.36,0.38,17.44,1,1
2023-07-24,1605.T,1618.7,9.68,84.62,1.33,16.67,1.04,0,11.15,123.75,0.74,-0.25,16.61,1,1
2023-08-07,1605.T,1702.4,8.36,80.81,0.92,23.36,1.06,0,2.42,72.95,-0.03,-0.41,16.05,1,0
2023-08-22,1605.T,1805.6,6.65,60.17,0.53,93.89,1.08,1,-1.7,57.75,0.23,-2.58,15.27,1,1
2023-09-05,1605.T,1955.8,9.12,80.43,0.78,19.46,1.08,1,5.05,91.14,0.54,2.43,14.63,1,1
2023-09-20,1605.T,2050.8,7.13,70.9,1.91,32.98,1.08,2,5.14,60.73,0.04,3.66,14.97,2,1
2023-10-04,1605.T,1807.8,-9.38,32.14,1.32,42.97,1.07,2,-34.83,-111.08,0.77,-7.6,15.99,0,0
2023-10-19,1605.T,1974.3,0.21,41.27,1.2,54.44,1.03,3,3.27,1.94,-0.11,-4.82,21.7,0,1
2023-11-02,1605.T,1971.2,1.73,59.28,0.77,30.97,0.99,3,3.51,19.8,-0.14,4.66,22.11,2,0
